formal_name	diminutive_names	sex
Melissa	Mel,Missy	F
Melody	Mel	F
Michaela	Mickey,Micky	F
Michelle	Micky,Shell	F
Mikaela	Mickey,Micky	F
Mildred	Millie,Milly	F
Millicent	Millie,Milly	F
Miranda	Mindy,Randy	F
Molly	Mollie,Polly	F
Nancy	Nan,Nance	F
Natalie	Nat	F
Natalya	Nat	F
Natasha	Nat,Tash,Tasha	F
Nellie	Nelly	F
Nichola	Nic	F
Nicola	Nic,Nicki,Nicky,Nikki	F
Nicole	Nic,Nicki,Nicky,Nikki	F
Noreen	Norrie	F
Norette	Norrie	F
Olive	Ollie	F
Olivia	Livvy,Ollie	F
Olwen	Ollie	F
Pamela	Pam,Pammy	F
Patricia	Pat,Patsy,Patti,Patty,Tricia,Trish,Trisha,Trixie	F
Patty	Patti	F
Peggy	Peg	F
Penelope	Penny	F
Philippa	Phil,Pip,Pippa	F
Philomena	Phil	F
Priscilla	Prissy	F
Prudence	Prue	F
Rachel	Rae,Ray	F
Rae	Dannie,Ray	F
Rebecca	Becca,Becki,Becky,Beki	F
Regina	Gina	F
Roberta	Bobbi,Bobbie,Bobby,Robbi,Robby	F
Rose	Rosie	F
Rosemary	Rosie	F
Roxana	Roxy	F
Roxane	Roxy	F
Roxanne	Roxy	F
Saffron	Saffy	F
Sally	Sal	F
Samantha	Sam,Sammi,Sammie,Sammy	F
Sandra	Sandy	F
Sarah	Sadie,Sallie,Sally	F
Sharon	Shaz	F
Shelley	Shelly	F
Shirley	Shirl	F
Stacey	Stace	F
Stephanie	Stef,Steff,Steffi,Steffie,Steffy,Steph,Stephie,Steve,Stevie	F
Susan	Su,Sue,Susie,Susy,Suzi,Suzie,Suzy	F
Susanna	Suze	F
Suzanne	Suze	F
Tallulah	Lula	F
Tammy	Tammie	F
Teresa	Terri,Terrie,Terry,Tess	F
Terry	Terri,Terrie	F
Theodora	Theo	F
Theresa	Teri,Terry,Tessy	F
Tisha	Tish	F
Trudy	Trudi,Trudie	F
Valerie	Val	F
Victoria	Vic,Vickey,Vicki,Vickie,Vicky,Vikki	F
Viola	Vi	F
Violet	Vi	F
Virginia	Ging,Ginny	F
Vivian	Viv	F
Wilhelmina	Minnie,Willie	F
Winifred	Winnie	F
Abner	Ab	M
Abraham	Abe,Abey,Abie	M
Ace	Acey,Acie	M
Alan	Al,Allie	M
Alban	Alby	M
Albert	Al,Allie,Bertie	M
Alex	Al,Lex	M
Alexander	Al,Alec,Aleck,Elsie,Lex,Sander,Sandy,Sawney,Xan,Zander	M
Alfonso	Alf,Alfie,Alfy	M
Alfonzo	Alf,Alfie,Alfy,Fonz,Fonzie	M
Alfred	Al,Alf,Alfie,Alfy,Allie,Ally,Fred	M
Alistair	Allie	M
Alonzo	Lonnie,Lonny	M
Alvin	Allie,Alvie,Alvy	M
Ambrose	Ambers,Ambie,Amby,Brose	M
Andrew	Andy,Drew	M
Anthony	Ant,Tony	M
Archibald	Archie	M
Arnold	Arnie	M
Arthur	Arfie,Art,Artie,Arty	M
Augustus	Augie,Gus	M
Barnabas	Barney	M
Barnaby	Barney	M
Barnett	Barney	M
Barry	Baz,Bazza	M
Bartholomew	Bart,Batt	M
Basil	Baz,Bazza	M
Benedict	Ben	M
Benjamin	Ben,Benji,Benjie,Benjy,Bennie,Benny	M
Bernard	Barney,Bernie	M
Bert	Bertie	M
Bertram	Bertie	M
Bradford	Brad	M
Bradley	Brad	M
Bradly	Brad	M
Brian	Bri	M
Caden	Cade	M
Caleb	Cal,Cale	M
Calum	Cal	M
Calvin	Cal	M
Cameron	Cam	M
Campbell	Camp	M
Chadwick	Chad	M
Charles	Chad,Charley,Charlie,Chas,Chaz,Chip,Chuck	M
Chauncey	Chance	M
Chester	Chet	M
Christian	Chris,Kris	M
Christopher	Chip,Chris,Christie,Kit,Kris	M
Chuck	Chuckie,Chucky	M
Clayton	Clay	M
Clement	Clem,Clemmie	M
Clifford	Cliff	M
Conor	Con	M
Cornelius	Con	M
Curtis	Curt	M
Cyril	Cy	M
Cyrus	Cy	M
Daniel	Dan,Dani,Danny	M
Danny	Dan,Dani,Dannie	M
David	Dave,Davey,Davie,Davo,Davy	M
Denis	Denny	M
Dennis	Den,Denny	M
Derek	Del	M
Dermot	Jeremy	M
Desmond	Des	M
Diarmaid	Dermot,Jeremy	M
Diarmid	Diarmi,Dermot,Jeremy	M
Diarmuid	Dermot,Jeremy	M
Dick	Dickie	M
Dominic	Dom	M
Don	Donnie,Donny	M
Donald	Don,Donnie,Donny	M
Donovan	Donny	M
Douglas	Doug,Dougie	M
Duncan	Dunky	M
Eben	Ebbie	M
Ebenezer	Ebbie	M
Eberhard	Ebbe	M
Ed	Eddie,Eddy	M
Edgar	Ed,Eddie,Eddy	M
Edward	Ed,Eddie,Eddy,Ned,Ted,Teddie,Teddy	M
Edwin	Ed,Eddie,Eddy	M
Elbert	Elbie	M
Elias	Eli	M
Elijah	Eli	M
Emmanuel	Mannie,Manny	M
Enrico	Rico	M
Ernest	Ernie	M
Eugene	Gene	M
Ezekiel	Zeke	M
Ferdinand	Ferd,Ferdie,Ferdy,Nandy	M
Fernando	Nando	M
Francis	Fran,Frank,Frankie	M
Franklin	Frank,Frankie	M
Frederick	Fred,Freddie,Freddy	M
Gabriel	Gabby,Gabe	M
Gareth	Gar,Gare,Gary	M
Gary	Gar,Gare	M
Gavin	Gav	M
Geoffrey	Geoff	M
George	Geordie,Georgie	M
Gerald	Gerry,Jerry	M
Gerard	Ged,Gerry,Jerry	M
Gilbert	Gil	M
Gilford	Gil	M
Gordon	Don,Gordie,Gordy	M
Gregor	Greg	M
Gregory	Greg,Gregg	M
Greig	Greg	M
Gustav	Gus	M
Harold	Hal,Harry	M
Harry	Hal	M
Harvey	Harve	M
Heathcliff	Heath	M
Henry	Hal,Hank,Harry	M
Herbert	Herb,Herbie	M
Howard	Howie	M
Hugh	Huey,Hughie	M
Humphrey	Huffie	M
Ignacio	Nacho,Nacio	M
Immanuel	Mannie,Manny	M
Indiana	Indy	M
Isaac	Ike	M
Isidore	Dore,Izzy	M
Ivan	Van	M
Jack	Jackie,Jacko,Jacky,Jak	M
Jacob	Jake	M
James	Jake,Jamey,Jamie,Jay,Jem,Jim,Jimbo,Jimi,Jimmer,Jimmie,Jimmy	M
Jason	Jace,Jay	M
Jedidiah	Jed	M
Jeffery	Jeff	M
Jeffrey	Jeff	M
Jeremiah	Jem,Jeremy,Jerry	M
Jeremy	Jem,Jerry,Jez	M
Jerrold	Jerry	M
Jesse	Jess	M
Jim	Jimmy	M
Jimmy	Jim,Jimi	M
Joe	Jo,Jody,Joey	M
Johannes	Joh	M
John	Jackie,Jacky,Johnnie,Johnny,Jon	M
Jonathan	Jon,Jonty	M
Joseph	Jo,Jody,Joe,Joey,Pepe	M
Joshua	Josh	M
Kennedy	Ken,Kenny	M
Kenneth	Ken,Kenny	M
Kester	Kit	M
Kevin	Kev	M
Kipling	Kip	M
Kurt	Curt	M
Kurtis	Kurt	M
Lafayette	Lafe	M
Laurence	Larry,Lauren,Laurie,Law	M
Lawrence	Larry,Lauren,Laurie,Law,Lawrie	M
Leo	Lee	M
Leonard	Len,Lenny	M
Leopold	Leo	M
Leroy	Lee	M
Leslie	Les,Lez	M
Lester	Les	M
Louis	Lou,Louie	M
Luke	Lucky	M
Marcus	Marc	M
Mark	Marky	M
Martin	Marty	M
Marvin	Marv	M
Matthew	Mat,Matt,Matty	M
Maurice	Mo,Moe,Mossie	M
Max	Mac,Mack,Maxie,Maxy	M
Maximilian	Max	M
Maxwell	Max	M
Melvin	Mel	M
Melvyn	Mel	M
Mervin	Merv	M
Mervyn	Merv	M
Michael	Mick,Mickey,Micky,Mike,Mikey	M
Mick	Mickey,Micky	M
Mike	Mickey,Micky,Mikey	M
Mitchell	Mitch	M
Montague	Monty	M
Montgomery	Monty	M
Morris	Mo,Moe	M
Mortimer	Mort	M
Morton	Mort	M
Moses	Mo,Moe	M
Moshe	Moishy	M
Murdoch	Murdy	M
Nathan	Nat,Nate	M
Nathanael	Nat,Nate	M
Nathaniel	Nat,Nate	M
Newton	Newt	M
Nicholas	Coll,Nic,Nick,Nicky	M
Norman	Norm	M
Oliver	Oli,Ollie	M
Oswald	Ozzie,Ozzy	M
Patrick	Paddy,Pat,Patsy	M
Paul	Paulie	M
Perceval	Perce,Percy	M
Percival	Perce,Percy	M
Peregrine	Perry	M
Peter	Pete,Petey	M
Philip	Phil,Pip	M
Phillip	Phil,Pip	M
Quincy	Quin	M
Quinton	Quin	M
Ralph	Ralphie	M
Randall	Randy	M
Randolph	Randy	M
Raphael	Ralph,Raph	M
Ray	Rae	M
Raymond	Ray	M
Reginald	Reg,Reggie	M
Reuben	Rube	M
Ricardo	Rick,Rico	M
Richard	Dick,Dickey,Dickie,Dickon,Dicky,Hick,Rich,Richie,Rick,Rickey,Ricki,Rickie,Ricky	M
Rickie	Ricki	M
Ricky	Rickey,Ricki	M
Robbie	Rabbie	M
Robert	Bob,Bobbi,Bobbie,Bobby,Rabbie,Rob,Robbie,Robby	M
Rocco	Rocky	M
Roderick	Rod	M
Rodney	Rod	M
Roger	Rog	M
Ronald	Ron,Ronnie,Ronny	M
Ronnie	Ronny	M
Rudolph	Rudy	M
Russell	Russ	M
Salvador	Sal	M
Samson	Sam	M
Samuel	Sal,Sam,Sammie,Sammy	M
Scott	Scottie,Scotty	M
Sebastian	Bastian,Seb	M
Shlomo	Shloime	M
Siddharth	Sid	M
Siddhartha	Sid	M
Sidney	Sid	M
Simeon	Sim	M
Simon	Si,Sim	M
Solomon	Sol	M
Spencer	Spence	M
Stanford	Stan	M
Stanislas	Stan	M
Stanislav	Stan	M
Stanislaw	Stan	M
Stanley	Stan	M
Stephen	Steenie,Steve,Stevie	M
Steven	Steve,Stevie	M
Stewart	Stew,Stewie	M
Stuart	Stu	M
Sydney	Sid,Syd	M
Sylvester	Sly	M
Teddy	Teddie	M
Terence	Tel,Terry	M
Thaddaeus	Tad,Thad,Thady	M
Thaddeus	Tad,Thad,Thady	M
Theodore	Ted,Teddie,Teddy,Theo	M
Thomas	Thom,Tom,Tommy	M
Timon	Tim	M
Timothy	Tim,Timmy	M
Tobiah	Toby	M
Tobias	Toby	M
Tracy	Trace	M
Trevor	Trev	M
Tyler	Ty	M
Tyron	Ty	M
Tyrone	Ty	M
Tyson	Ty	M
Valentine	Val	M
Valerius	Val	M
Vance	Van	M
Vernon	Vern	M
Victor	Vic,Vick	M
Vincent	Vin,Vince,Vinnie	M
Wallace	Wally	M
Walter	Wally,Walt	M
Wesley	Wes	M
Wilber	Wil,Will	M
Wilbur	Wil,Will	M
Wilford	Wil,Will	M
Wilfred	Fred,Wil,Wilf,Will	M
Willard	Wil,Will	M
William	Bill,Billy,Will,Willie,Willy	M
Winston	Winnie	M
Woodrow	Woody	M
Zachariah	Zack,Zak	M
Zachary	Zach,Zack,Zak	M
Zedekiah	Zed	M
